"seasonid","baseline","threshold","percent_pni","percent_complete","number_influenza","number_pneumonia","all_deaths","total_pni","weeknumber","geo_description","age_label","week_start","week_end","year_week_num","mmwrid","coverage_area","region_name","callout"
"62",0.054,0.058,0.06,1,28,3544,59540,3572,"40","National","All",2022-10-02,2022-10-08,40,"3171","national","national","At or Above Threshold"
"62",0.055,0.058,0.061,1,56,3557,59716,3613,"41","National","All",2022-10-09,2022-10-15,41,"3172","national","national","At or Above Threshold"
"62",0.056,0.059,0.065,1,57,3829,60076,3886,"42","National","All",2022-10-16,2022-10-22,42,"3173","national","national","At or Above Threshold"
"62",0.057,0.06,0.063,1,95,3664,60011,3759,"43","National","All",2022-10-23,2022-10-29,43,"3174","national","national","At or Above Threshold"
"62",0.058,0.061,0.064,1,156,3776,61006,3932,"44","National","All",2022-10-30,2022-11-05,44,"3175","national","national","At or Above Threshold"
"62",0.059,0.062,0.067,1,227,3857,61029,4084,"45","National","All",2022-11-06,2022-11-12,45,"3176","national","national","At or Above Threshold"
"62",0.06,0.063,0.068,1,258,3950,61604,4208,"46","National","All",2022-11-13,2022-11-19,46,"3177","national","national","At or Above Threshold"
"62",0.061,0.064,0.073,1,428,4304,64609,4732,"47","National","All",2022-11-20,2022-11-26,47,"3178","national","national","At or Above Threshold"
"62",0.062,0.065,0.084,1,851,4653,65759,5504,"48","National","All",2022-11-27,2022-12-03,48,"3179","national","national","At or Above Threshold"
"62",0.063,0.066,0.09,1,1025,4972,66997,5997,"49","National","All",2022-12-04,2022-12-10,49,"3180","national","national","At or Above Threshold"
"62",0.064,0.067,0.09,1,1048,4940,66380,5988,"50","National","All",2022-12-11,2022-12-17,50,"3181","national","national","At or Above Threshold"
"62",0.065,0.068,0.087,1,952,4988,67947,5940,"51","National","All",2022-12-18,2022-12-24,51,"3182","national","national","At or Above Threshold"
"62",0.066,0.069,0.091,1,991,5423,70164,6414,"52","National","All",2022-12-25,2022-12-31,52,"3183","national","national","At or Above Threshold"
"62",0.067,0.07,0.093,1,885,5502,68900,6387,"1","National","All",2023-01-01,2023-01-07,1,"3184","national","national","At or Above Threshold"
"62",0.068,0.071,0.088,1,627,5180,66271,5807,"2","National","All",2023-01-08,2023-01-14,2,"3185","national","national","At or Above Threshold"
"62",0.068,0.071,0.084,1,388,5001,64078,5389,"3","National","All",2023-01-15,2023-01-21,3,"3186","national","national","At or Above Threshold"
"62",0.069,0.072,0.078,1,272,4594,62365,4866,"4","National","All",2023-01-22,2023-01-28,4,"3187","national","national","At or Above Threshold"
"62",0.069,0.072,0.073,1,144,4452,62639,4596,"5","National","All",2023-01-29,2023-02-04,5,"3188","national","national","At or Above Threshold"
"62",0.07,0.073,0.071,1,113,4349,62759,4462,"6","National","All",2023-02-05,2023-02-11,6,"3189","national","national","Normal levels"
"62",0.07,0.073,0.068,1,117,4093,61632,4210,"7","National","All",2023-02-12,2023-02-18,7,"3190","national","national","Normal levels"
"62",0.07,0.073,0.068,1,77,4122,61927,4199,"8","National","All",2023-02-19,2023-02-25,8,"3191","national","national","Normal levels"
"62",0.07,0.073,0.066,1,65,3985,61185,4050,"9","National","All",2023-02-26,2023-03-04,9,"3192","national","national","Normal levels"
"62",0.069,0.072,0.066,1,55,3927,60592,3982,"10","National","All",2023-03-05,2023-03-11,10,"3193","national","national","Normal levels"
"62",0.069,0.072,0.064,1,54,3820,60856,3874,"11","National","All",2023-03-12,2023-03-18,11,"3194","national","national","Normal levels"
"62",0.068,0.071,0.065,1,53,3893,60583,3946,"12","National","All",2023-03-19,2023-03-25,12,"3195","national","national","Normal levels"
"62",0.068,0.071,0.062,1,45,3652,59927,3697,"13","National","All",2023-03-26,2023-04-01,13,"3196","national","national","Normal levels"
"62",0.067,0.07,0.063,1,45,3652,58818,3697,"14","National","All",2023-04-02,2023-04-08,14,"3197","national","national","Normal levels"
"62",0.066,0.069,0.061,1,41,3568,59420,3609,"15","National","All",2023-04-09,2023-04-15,15,"3198","national","national","Normal levels"
